CTF ids,CTF URLs,Rating,Tags,Task Id,Task Name,Competition,Title
3877,https://github.com/Idomin/CTF-Writeups/blob/master/IceCTF/Rotated-Crypto-20,,cryptography,2687,Rotated!, IceCTF 2016 ,CTFtime.org / IceCTF 2016 / Rotated! / Writeup
4263,https://github.com/InfoSecIITR/write-ups/tree/master/2016/dctf-quals-2016/revcrypt/100,,,2834,Bad OTPxploited, DefCamp CTF Qualification 2016 ,CTFtime.org / DefCamp CTF Qualification 2016 / Bad OTPxploited / Writeup
2506,https://github.com/WesternCyber/CTF-WriteUp/blob/master/2016/HackIM/programming.md,,,2011,Programming, HackIM 2016 ,CTFtime.org / HackIM 2016 / Programming / Writeup
4811,https://gist.github.com/Inndy/a2c630a6e70d892758908915914cebfc,,,3118,IMS hard, RC3 CTF 2016 ,CTFtime.org / RC3 CTF 2016 / IMS hard / Writeup
5951,http://blog.dragonsector.pl/2017/03/0ctf-2017-uploadcenter-pwn-523.html,,,3588,UploadCenter, 0CTF 2017 Quals ,CTFtime.org / 0CTF 2017 Quals / UploadCenter / Writeup
4100,https://kinyabitch.wordpress.com/2016/09/14/crypto-asis-ctf-finals-2016-srpp-secure-remote-password-protocol/,,crypto,2772,SRPP, ASIS CTF Finals 2016 ,CTFtime.org / ASIS CTF Finals 2016 / SRPP / Writeup
7349,https://github.com/vilkoz/ctf-writeup/blob/master/twctf-2017/revrevrev/writeup.md,4.8,warmup,4545,Rev Rev Rev, Tokyo Westerns CTF 3rd 2017 ,CTFtime.org / Tokyo Westerns CTF 3rd 2017 / Rev Rev Rev / Writeup
4702,https://www.incertia.net/blog/csaw-finals-2016-cookie-math-250/,,,3048,Cookie Math, CSAW CTF Final Round 2016 ,CTFtime.org / CSAW CTF Final Round 2016 / Cookie Math / Writeup
2271,https://cryptsec.wordpress.com/2016/01/18/insomnihack-teaser-write-up-bring-the-noise-crypto-200/,,,1970,Bring the noise, Insomni&#39;hack teaser 2016 ,CTFtime.org / Insomni&#39;hack teaser 2016 / Bring the noise / Writeup
1688,https://github.com/hypnosec/writeups/blob/master/2015/csaw-ctf/forensics/transfer.md,,,1651,Transfer, CSAW CTF Qualification Round 2015 ,CTFtime.org / CSAW CTF Qualification Round 2015 / Transfer / Writeup
1409,http://www.securifera.com/blog/2015/04/23/plaidctf-2015-re-gex/,,,1443,REG EX, PlaidCTF 2015 ,CTFtime.org / PlaidCTF 2015 / REG EX / Writeup
1065,http://akaminsky.net/plaidctf-quals-2014-misc-10-heartbleed/,,ssl,1087,Heartbleed, PlaidCTF 2014 ,CTFtime.org / PlaidCTF 2014 / Heartbleed / Writeup
1718,https://p4f.github.io/csaw-online-qual-forensics100/,,,1653,Flash, CSAW CTF Qualification Round 2015 ,CTFtime.org / CSAW CTF Qualification Round 2015 / Flash / Writeup
7998,https://github.com/p4-team/ctf/tree/master/2017-11-09-defcamp-final/state_agency,,web,4880,State agency (web), DefCamp CTF Finals 2017 ,CTFtime.org / DefCamp CTF Finals 2017 / State agency (web) / Writeup
2820,https://github.com/p4-team/ctf/tree/master/2016-03-06-bkpctf/re_4_unholy,,,2107,unholy, Boston Key Party CTF 2016 ,CTFtime.org / Boston Key Party CTF 2016 / unholy / Writeup
9883,https://gist.github.com/felberj/9242787ae91fbc597224069a6beada8a,1,,6019,Cat, ASIS CTF Quals 2018 ,CTFtime.org / ASIS CTF Quals 2018 / Cat / Writeup
9516,https://www.asafety.fr/reverse-engineering/ctf-ndh-2018-quals-write-up-reverse-sostealthy/,,,5660,So Stealthy, Nuit du Hack CTF Quals 2018 ,CTFtime.org / Nuit du Hack CTF Quals 2018 / So Stealthy / Writeup
1504,https://github.com/smokeleeteveryday/CTF_WRITEUPS/tree/master/2015/POLICTF/reversing/johnthepacker,,,1539,John the Packer, PoliCTF 2015 ,CTFtime.org / PoliCTF 2015 / John the Packer / Writeup
8042,https://rce4fun.blogspot.com/2017/11/hxp-ctf-2017-fibonacci-reversing-100.html,,rev,4930,Fibonacci, hxp CTF 2017 ,CTFtime.org / hxp CTF 2017 / Fibonacci / Writeup
